motor_id,value
11,2057
12,2049
13,2046
14,2033
15,2029
21,2042
22,2045
23,2052
24,2064
25,2072
31,2153
32,2011
33,2049
34,2250
35,2057
41,2874
42,2571
43,3002
44,2046
51,1278
52,855
53,1094
54,2047
