motor_id,value
11,2056
12,2045
13,2049
14,2043
15,2044
21,2040
22,2045
23,2051
24,2057
25,2061
31,2118
32,2052
33,2046
34,2351
35,2049
41,3181
42,1719
43,2049
44,2046
51,2152
52,1532
53,1326
54,3393
