motor_id,value
11,2065
12,2022
13,2036
14,2113
15,2041
21,1968
22,2069
23,2058
24,1988
25,2073
31,2037
32,2053
33,2041
34,2122
35,2056
41,843
42,1457
43,1089
44,2050
51,1373
52,856
53,907
54,2053
