motor_id,value
11,2060
12,2045
13,2042
14,2167
15,1944
21,1974
22,2024
23,2055
24,1940
25,2169
31,2151
32,2048
33,2042
34,2225
35,2088
41,851
42,1457
43,1090
44,2049
51,1352
52,857
53,906
54,2054
