motor_id,value
11,2063
12,2017
13,2034
14,2145
15,2073
21,1957
22,2071
23,2060
24,1957
25,2037
31,1961
32,2037
33,2041
34,2015
35,2026
41,1449
42,976
43,1088
44,2048
51,1530
52,1396
53,908
54,2055
