motor_id,value
11,2060
12,2021
13,2036
14,2113
15,2041
21,1964
22,2068
23,2058
24,1988
25,2074
31,2037
32,2043
33,2041
34,2122
35,2037
41,844
42,888
43,1090
44,2049
51,1373
52,1401
53,906
54,2056
