motor_id,value
11,2061
12,2051
13,2043
14,2025
15,2002
21,2031
22,2041
23,2057
24,2081
25,2105
31,2150
32,2003
33,2047
34,2246
35,2122
41,2874
42,3237
43,3004
44,2039
51,1219
52,1521
53,1091
54,2048
