motor_id,value
11,2058
12,2045
13,2038
14,2043
15,2045
21,2040
22,2045
23,2056
24,2059
25,2063
31,2153
32,2052
33,2050
34,2242
35,2052
41,996
42,2427
43,2046
44,2049
51,2305
52,1532
53,1322
54,3395
