motor_id,value
11,2053
12,2043
13,2046
14,2180
15,1960
21,1967
22,2023
23,2050
24,1940
25,2168
31,2084
32,2035
33,2039
34,2240
35,2070
41,1614
42,897
43,1089
44,2050
51,1351
52,1475
53,905
54,2055
