motor_id,value
11,2051
12,2044
13,2043
14,2170
15,1956
21,1965
22,2023
23,2054
24,1940
25,2168
31,2116
32,2035
33,2039
34,2226
35,2064
41,852
42,917
43,1090
44,2050
51,1353
52,1469
53,906
54,2056
